Country;Destination_Airports;Airlines;Tot_Flights
United Arab Emirates;752;111;1494
Afghanistan;43;11;84
Antigua and Barbuda;35;15;69
Anguilla;6;5;12
Albania;36;13;72
Armenia;46;26;92
Netherlands Antilles;101;30;200
Angola;78;19;155
Antarctica;0;0;0
Argentina;255;30;511
American Samoa;1;1;2
Austria;388;72;776
Australia;1113;62;2210
Aruba;44;24;90
Azerbaijan;72;29;145
Bosnia and Herzegovina;23;12;46
Barbados;23;12;46
Bangladesh;104;30;209
Belgium;412;66;822
Burkina Faso;35;15;70
Bulgaria;89;31;178
Bahrain;84;38;170
Burundi;13;10;27
Benin;41;19;80
Bermuda;15;9;30
Brunei;23;8;46
Bolivia;104;14;209
Brazil;1401;52;2797
Bahamas;147;20;295
Bhutan;5;1;10
Bouvet Island;0;0;0
Botswana;22;4;44
Belarus;54;13;108
Belize;83;7;166
Canada;1859;81;3727
Cocos Islands;0;0;0
Congo;109;20;220
Central African Republic;3;3;6
Congo Republic;0;0;0
Switzerland;429;86;855
Cote d'Ivoire;50;25;102
Cook Islands;21;5;41
Chile;157;22;313
Cameroon;72;21;144
China;8248;129;16496
Colombia;361;23;722
Costa Rica;130;22;257
Cuba;96;27;187
Cape Verde;58;12;117
Christmas Island;2;1;4
Cyprus;149;56;303
Czech Republic;192;55;385
Germany;2352;133;4688
Djibouti;23;12;40
Denmark;309;64;618
Dominica;17;7;35
Dominican Republic;164;45;325
Algeria;221;23;442
Ecuador;98;13;198
Estonia;41;16;82
Egypt;307;61;612
Western Sahara;7;3;14
Eritrea;8;3;16
Spain;2531;104;5065
Ethiopia;133;24;269
Finland;219;36;439
Fiji;69;12;134
Falkland Islands;1;1;2
Micronesia;9;1;18
Faroe Islands;4;1;8
France;1930;147;3856
Gabon;25;12;50
United Kingdom;2663;128;5300
Grenada;14;9;29
Georgia;48;27;97
French Guiana;7;5;14
Guernsey;20;4;40
Ghana;64;26;127
Greenland;90;2;179
Gambia;13;9;26
Guinea;18;12;36
Equatorial Guinea;16;9;32
Greece;787;69;1601
South Georgia and South Sandwich Is.;0;0;0
Guatemala;40;16;83
Guinea-Bissau;7;4;14
Guyana;9;5;18
Hong Kong;355;83;710
Heard and McDonald Islands;0;0;0
Honduras;67;13;132
Croatia;204;36;409
Haiti;27;14;54
Hungary;100;40;199
Indonesia;839;54;1675
Ireland;295;28;590
Israel;147;58;292
Isle of Man;11;5;22
India;1508;79;3013
British Indian Ocean Territory;0;0;0
Iraq;76;25;151
Iran;439;28;880
Iceland;53;9;107
Italy;1776;115;3555
Jersey;38;10;76
Jamaica;75;25;147
Jordan;113;38;227
Japan;1296;83;2597
Kenya;201;40;401
Kyrgyzstan;76;16;150
Cambodia;72;30;144
Kiribati;7;3;14
Comoros;10;8;20
Saint Kitts and Nevis;19;12;39
North Korea;5;2;10
South Korea;589;73;1178
Kuwait;120;42;239
Cayman Islands;29;10;60
Kazakhstan;209;29;418
Laos;50;10;100
Lebanon;67;31;133
Saint Lucia;30;17;58
Liechtenstein;0;0;0
Sri Lanka;116;25;232
Liberia;18;13;36
Lesotho;1;1;2
Lithuania;80;23;160
Luxembourg;70;16;140
Latvia;101;25;202
Libya;100;14;200
Morocco;312;39;623
Monaco;1;1;2
Moldova;34;12;68
Montenegro;27;12;54
Madagascar;67;9;133
Marshall Islands;7;2;14
Macedonia;24;12;48
Mali;28;14;55
Myanmar;0;0;0
Mongolia;34;7;68
Macao;79;22;158
Northern Mariana Islands;12;5;24
Mauritania;19;8;37
Montserrat;0;0;0
Malta;113;31;226
Mauritius;42;16;84
Maldives;58;28;113
Malawi;17;6;35
Mexico;1061;51;2116
Malaysia;567;70;1134
Mozambique;61;6;122
Namibia;32;6;64
New Caledonia;36;5;72
Niger;17;9;34
Norfolk Island;3;1;5
Nigeria;126;29;251
Nicaragua;15;11;29
Netherlands;570;81;1136
Norway;648;41;1296
Nepal;53;27;106
Nauru;3;1;6
Niue;1;1;1
New Zealand;218;25;466
Oman;112;38;224
Panama;131;20;262
Peru;182;27;363
French Polynesia;110;12;220
Papua New Guinea;168;4;336
Philippines;395;43;789
Pakistan;282;26;566
Poland;363;45;725
Saint Pierre and Miquelon;3;1;6
Pitcairn Islands;0;0;0
Puerto Rico;116;25;232
Palestine;0;0;0
Portugal;530;56;1071
Palau;10;8;19
Paraguay;22;11;44
Qatar;189;41;377
Romania;178;39;355
Serbia;107;31;213
Russia;1847;121;3698
Rwanda;41;15;80
Saudi Arabia;552;61;1116
Solomon Islands;59;5;118
Seychelles;14;10;28
Sudan;52;19;103
Sweden;474;60;950
Singapore;408;83;820
Saint Helena;0;0;0
Slovenia;33;15;66
Slovakia;26;7;51
Sierra Leone;22;12;44
San Marino;0;0;0
Senegal;70;33;139
Somalia;32;7;70
Suriname;10;4;20
Sao Tome and Principe;3;2;7
El Salvador;53;12;105
Syria;0;0;0
Swaziland;1;1;2
Turks and Caicos Islands;38;12;76
Chad;9;5;19
French Southern Territories;0;0;0
Togo;20;8;41
Thailand;605;112;1209
Tajikistan;96;16;194
Timor-Leste;4;4;8
Turkmenistan;15;8;30
Tunisia;200;31;402
Tonga;5;3;10
Turkey;979;101;1967
Trinidad and Tobago;39;15;79
Tuvalu;1;1;2
Taiwan;414;54;826
Tanzania;76;23;152
Ukraine;213;46;424
Uganda;37;22;73
United States;13202;138;26402
Uruguay;26;14;52
Uzbekistan;141;20;281
Saint Vincent and the Grenadines;4;1;9
Venezuela;192;28;384
Vietnam;289;45;578
Vanuatu;96;7;192
Wallis and Futuna;4;1;8
Samoa;5;4;11
Kosovo;0;0;0
Yemen;93;13;183
South Africa;270;50;540
Zambia;57;15;113
Zimbabwe;37;16;79
United States Virgin Islands;44;15;86
Guadeloupe;33;12;66
Martinique;23;11;46
Mayotte;15;8;30
Reunion;22;7;46
Guam;35;10;70
British Virgin Islands;16;7;32
Gibraltar;6;4;12
